label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,min_sp500_abs,end_sp500_abs,ann_return_approx,window
R01_no_mom_lowvol_seed1_w00,1260,0.00019832954563926683,0.004485228529895942,-1.109313399314818,17.438985685163225,0.03784749887025069,-0.014180215996793083,-0.0004434495642569123,-0.008269460043886906,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,-0.01070165070136922,0.007222705844641432,0.03784749887025069,-0.0004434495642569123,-0.07296653789411091,0.03550835486125624,-0.003339054314309467,-0.003824645307125838,0.004835714186271513,-0.007862071878833294,0.007031516454271877,-0.014180215996793083,-0.005017762008285569,0.0034772721771961774,0.01992351552053013,0.00307128668907711,-0.01835213659017887,-0.031361948039490634,-0.012164035181779404,0.016374383180914293,-0.014467049305305076,-0.004072761135883704,6981.893313072968,9508.875993360012,0.05448456778333122,0
R01_no_mom_lowvol_seed1_w01,1260,0.00028641862815083374,0.0051034059392027625,2.469089120253991,47.01055081268827,0.04649995289869244,0.021439525548332675,0.004472749311316935,-0.008493259235303762,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,0.012495681117928155,-0.03700728202075251,0.04649995289869244,0.004472749311316935,-0.023318401258682456,-0.004332240942841559,-0.005346167047157316,-0.03154049207365376,-0.01630339194613611,-0.0077388729822952,-0.010433692063176335,0.021439525548332675,-0.0038730328017001574,-0.011779749580361034,0.012866520104020101,-0.0029824106963626975,-0.0003220815323961141,-0.0018939535641876214,-0.004617814524751189,-0.00785347651920687,-0.013629407100162416,-0.0046739875670928615,9380.402765135994,13420.599095263537,0.0704323110431695,1
R01_no_mom_lowvol_seed1_w02,1260,0.0002548206751170154,0.004191106352041873,0.36134817552774284,6.481295072865205,0.04618270305489822,0.0028936593736324815,0.013410148200459743,-0.006434828354005899,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,-0.013474829187466661,-0.031581386133735824,0.04618270305489822,0.013410148200459743,-0.056905586067633324,0.008831808462273947,0.00278237245944526,0.008912986292078684,0.00054962252062481,-0.013216687735899438,-0.0260907815135001,0.0028936593736324815,-0.016922265001115037,0.05195375243052191,-0.008809489100271361,-0.018412264963792238,-1.2799955318202571e-05,0.008334502537992228,-0.005596279981137537,0.03525052209187374,0.004483848276652633,-0.008113922682548628,13294.9148543113,18297.673463817588,0.06368329471385414,2
R01_no_mom_lowvol_seed1_w03,1260,0.0002862326942184674,0.004842664778538809,-2.2735748931037665,27.842019608159802,0.04514328581535674,0.01361111912489218,0.016797225213994224,-0.006109709143563481,-0.004468253968253963,0.10807531078703067,-0.14334624573407242,5.604885002406277,0.11379552596839018,0.013739123954471619,-0.002601940211847217,0.04514328581535674,0.016797225213994224,-0.055178703736890794,0.07603678278182596,0.01809456233337598,-0.047200095454552324,0.03213093052763611,0.0012729750840860224,0.001497199857704394,0.01361111912489218,-0.0023278289030167444,-0.022431594514161574,-0.024064498686385015,-0.007497298658911826,-0.018692059058851455,0.02264580729099634,0.01714303575070556,-0.028787018086665374,0.03300253523045648,0.00408654672835469,18128.79613626723,25854.79862579903,0.07180388778074964,3
R01_no_mom_lowvol_seed1_w04,1260,0.00024506179166593705,0.004254302656141898,0.01251168620935657,3.711130658130313,0.027787609630802117,-0.009140345209667652,0.020040890015779272,-0.0050615788975885674,8.73015873015879e-05,0.0680002940984851,-0.9815680951209959,16.264628933165792,0.05151924495698748,0.019778059751670043,-0.07959105018508628,0.027787609630802117,0.020040890015779272,-0.0029957179626538323,-0.0014301343868682683,0.03657815957155802,0.004336727027020667,-0.0013468576107482301,-0.00542902324258374,0.053535946814735294,-0.009140345209667652,-0.012655472866042456,0.006255738364280516,0.033932459365546355,0.020121956219163288,-0.00835209525096608,-0.011515032073586598,-0.014132758817664922,-0.012623502496653465,0.005809118181773908,0.005450854123777825,25386.096906955223,34807.72783212758,0.06071184713748834,4
R01_no_mom_lowvol_seed1_w05,1260,0.00024900928214525005,0.005610563466558953,2.1779278100617323,71.25341414044283,0.06678379516320428,0.03236682214402379,0.007756985282534413,0.005624532482161669,-0.0004206349206349212,0.06098970159940262,0.570588708827548,6.318985875848964,-0.011664719739844478,-0.01994689630249107,-0.072541988662527,0.06678379516320428,0.007756985282534413,-0.027334786780644316,0.03410060852440886,0.0006198036496644419,0.04440531565930166,0.016768592284186267,-0.0012596764160394322,0.03989173029527155,0.03236682214402379,0.005408064680823506,-0.00665656953186286,-0.042163910594730764,-0.007259792001941096,-0.01270673576023631,0.005296322689744765,-0.0025493487443995376,0.007105664802727793,0.024260102526701376,-0.002719386926052104,34639.77342123535,46705.89070921376,0.06039404190587594,5
R01_no_mom_lowvol_seed1_w06,1260,0.0003042408618115125,0.0042507964185397595,0.036864733902922074,3.4179331557347705,0.03943713154070294,-0.0032479719684183907,0.03671705226836641,-0.00927644545859723,-0.0012460317460317469,0.05730275852911976,0.1547791268161602,4.2880568686100355,0.10763827902139193,-0.031068271545233478,-0.03141483805031112,0.03943713154070294,0.03671705226836641,-0.03289031456868415,0.026265390892976113,0.0392949852885858,0.011580183061087308,0.016514582329117424,0.030428903350705694,-0.00876377603689022,-0.0032479719684183907,-0.007801043548387386,0.03091287555758673,-0.011767735519923325,-0.01604952094713485,-0.0035237334298736937,0.023320433002760658,-0.0011823595383506126,-0.0181585115327668,-0.06837305277304427,-0.047955345953614704,46043.557482937584,67746.96081811714,0.07717671008681104,6
R01_no_mom_lowvol_seed1_w07,1260,0.0002261204415094292,0.004503602314529246,-0.9192522539003678,11.558452278876384,0.019459668963514257,-0.0011003361894102823,-0.007639820480721621,-0.0029226312182146974,-0.0003650793650793628,0.05690030311725034,0.3286907978730894,4.383716433133995,0.02183093908886142,-0.06992738191835293,-0.034348419880159305,0.019459668963514257,-0.007639820480721621,-0.08428083164900872,0.07456156497972828,0.03158131171493719,-0.007602536806427568,0.07595933462480893,0.04297071696104719,-0.06950662917487624,-0.0011003361894102823,-0.007574235545387657,-0.04050153245798115,0.015857686120825144,0.0021772695772279823,-0.02048179744887991,-0.006613914359238241,-0.009033574241569834,-0.018845737932017916,-0.0027817608323787344,-0.0024366239512119353,65640.45388134794,88930.05953284887,0.05451098340922278,7
R01_no_mom_lowvol_seed1_w08,1260,0.0003008253970389007,0.005110786065075726,3.884804695350207,49.628206074244105,0.05770455996639656,0.004883442678138756,0.00960751498195999,-0.004385984678516965,-0.0023888888888888887,0.07267185130283459,-0.25782776487295117,5.326579118409629,0.14463964131155083,0.009322897581458217,-0.0611460752476612,0.05770455996639656,0.00960751498195999,-0.025952239807672906,0.006214349809335344,-0.005800750627337184,0.0023916107615055515,-0.0009585053281081066,-0.004440523481763652,0.04194994558249044,0.004883442678138756,0.0031057018603390363,0.025621456366012554,-0.02263341520370408,-0.01041133663040296,-0.02447123490770383,-0.02229044536053846,-0.00496745066940391,-0.017518081546935366,0.0006860519965772639,0.0010183951535835674,88179.12805419005,127816.40533925702,0.07605169406941537,8
R01_no_mom_lowvol_seed1_w09,1260,0.00022637306346229115,0.005643238146518813,0.1954918615618336,46.87380876648698,0.11480293366315703,0.001625516924705079,0.02827843506856596,-0.0052299836095112085,0.0004206349206349215,0.0463327943056352,0.2530200063759547,3.74775516127596,0.06480002201991063,-0.013631446818960165,-0.07658079560861737,0.11480293366315703,0.02827843506856596,-0.06995494778254298,0.003008124237739876,-0.0060560695554731855,0.018985224066760283,0.01595860336292503,-0.0014515087470859135,-0.02045421255145949,0.001625516924705079,0.0002910818275609027,0.0025034215450133643,-0.022778793729388336,-0.0070922110296505175,0.012544804853885804,0.019148960540113086,-0.0024422886542561175,0.006688743575960937,-0.038272481790085425,-0.009452442060682523,125538.95806449655,166623.74465519682,0.05425343324195531,9
