label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,absacf3_sp500,r_acf3_sp500,min_sp500_abs,end_sp500_abs,ann_return_approx,window
Q13_lowimpact_fear02_seed1_w00,1260,0.0002166440530720773,0.006890796807627247,2.4612700490595945,52.23437097901764,0.1384108616527633,0.023288563082001296,0.02629837968804464,-0.007707493210346028,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,0.019860557105458358,0.005462880740877242,-0.020440793667373818,6878.494408862839,9567.88604549562,0.05673711824660943,0
Q13_lowimpact_fear02_seed1_w01,1260,0.0003258109183373144,0.00605937429318748,1.238403658444644,18.124795736649094,0.047589072396599666,0.013845428841733454,0.013562735586728054,-0.0012908089403144184,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,0.017505283344028066,-0.0024932076018459558,-0.005784786610563487,9350.874638581021,14095.552209186219,0.0796043928984731,1
Q13_lowimpact_fear02_seed1_w02,1260,0.0002493848558746293,0.005931488860244366,0.09173678745188027,4.269807915843983,0.08788633082511436,0.039436253453933055,0.0836453924149346,-0.026911728666786823,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,-0.017484997541081987,0.10360108205828068,-0.022012671620177334,13641.492747505139,18876.116638986237,0.06003818740118505,2
Q13_lowimpact_fear02_seed1_w03,1260,0.00023023333557094225,0.006889726851449904,-0.9973726931063641,14.822414736546499,0.21384800199040063,0.0474141714003974,0.12796917408708328,-0.014676850437692183,-0.004468253968253963,0.10807531078703067,-0.14334624573407242,5.604885002406277,0.11379552596839018,-0.013718946039408462,0.1150649337621106,-0.06162250363574185,18559.773777019924,24481.530276633093,0.05460906504721885,3
Q13_lowimpact_fear02_seed1_w04,1260,0.0003874644671986249,0.007815607361152057,1.7509214371837654,45.60977413536268,0.07121222574868481,0.004085925587244691,0.018713122633556678,-0.00035768972044787514,8.73015873015879e-05,0.0680002940984851,-0.9815680951209959,16.264628933165792,0.05151924495698748,-0.029102270456993765,0.046263277190417014,-0.04217185952768956,24139.355830181772,38393.027755336,0.09318912675798363,4
Q13_lowimpact_fear02_seed1_w05,1260,0.00016314437518650222,0.007686886319430524,0.8149110816124172,36.003762919518024,0.1597040183180618,0.04223013727256501,0.1101270766532186,-0.008615929494022224,-0.0004206349206349212,0.06098970159940262,0.570588708827548,6.318985875848964,-0.011664719739844478,-0.0354760692398259,0.056425413623618643,-0.03306510273089837,35254.2032573731,45436.89481130254,0.03628224757616305,5
Q13_lowimpact_fear02_seed1_w06,1260,0.00032773388753874256,0.00690753972414191,0.08597094985205599,4.7390222385398655,0.18251643212268553,0.0939227063735056,0.1754716799945397,-0.02624658847010954,-0.0012460317460317469,0.05730275852911976,0.1547791268161602,4.2880568686100355,0.10763827902139193,0.01130450423853406,0.18323067367857204,-0.023419419576683673,44204.063510545246,66630.99042474497,0.08104517252874555,6
Q13_lowimpact_fear02_seed1_w07,1260,0.0002748579583047623,0.008284325404638929,0.1407642638822622,6.4526658621036965,0.21393969590922218,0.10695783615791138,0.1292605981517273,-0.03639453809477518,-0.0003650793650793628,0.05690030311725034,0.3286907978730894,4.383716433133995,0.02183093908886142,-0.05460004442542819,0.14551702565190552,-0.0225018662612472,63473.48476028804,90220.26624708853,0.057929858877457274,7
Q13_lowimpact_fear02_seed1_w08,1260,0.000343025377688242,0.011120767721417962,0.3754340231766762,16.7117121080867,0.24416228931466794,0.21030345855303348,0.058148957816906474,-0.029218356243769304,-0.0023888888888888887,0.07267185130283459,-0.25782776487295117,5.326579118409629,0.14463964131155083,0.045882072273963535,0.2141852059094219,-0.012216915974527849,86918.01224957558,128595.11970547464,0.07831536875811573,8
Q13_lowimpact_fear02_seed1_w09,1260,0.0004149736410620371,0.020167249388858482,0.2614298479669971,4.3828871468177155,0.5159857881717996,0.39049759611385065,0.4366246924858415,-0.03578416892190082,0.0004206349206349215,0.0463327943056352,0.2530200063759547,3.74775516127596,0.06480002201991063,0.023477916781219257,0.452632471067404,0.002938794079153828,118419.638020404,168019.58152728732,0.055951776322864966,9
Q13_lowimpact_fear02_seed1_w10,1260,0.0007713838439759991,0.03301691294159991,0.03017017348142353,4.074379014381543,0.6482796016864721,0.5249068802476178,0.7139112035316508,-0.056210739942382945,0.00019841269841269904,0.04436009214663839,0.021612474271070086,6.588459856210723,0.23915714565547358,0.012639537798447759,0.5481930300420932,-0.043948743882508544,79797.87759905563,223378.37864997154,0.0558515700647797,10
Q13_lowimpact_fear02_seed2_w00,1260,0.0002883357449068821,0.007336427899142026,0.28865229495882055,6.233212583698617,0.142678634927229,0.05821019285534405,0.1265458235790914,-0.020103292054526795,0.0006587301587301521,0.04094472904395313,-0.641483925271424,6.259472172368586,0.2695384441456247,0.01598581158028368,0.027992558190231914,-0.039455608612510434,6816.418078980763,10427.767510444113,0.0756726173807023,0
Q13_lowimpact_fear02_seed2_w01,1260,0.0002472442073797408,0.007536723198650084,0.4061637458047694,7.259095906859487,0.18018439526259675,0.13079296642032862,0.10470148014789725,-0.02893243448107934,0.0021507936507936475,0.039306198763997505,-0.1824998112220489,7.554504737198237,0.27872056427365377,0.017967684832886223,0.14870586778048803,-0.07497232434029445,10326.84187295577,13739.287330981424,0.046532780839628085,1
Q13_lowimpact_fear02_seed2_w02,1260,0.00038460484164903706,0.010463784075319636,1.642735414190725,16.746594109489717,0.21724126349804185,0.1342092486082444,0.048949065035161096,-0.009012357139094405,0.004428571428571424,0.09988043872959469,-0.3379658470577198,11.01822800817144,0.42801328657284243,0.03231682607662372,0.13631029710764786,-0.07196142048142662,13822.885227852748,20833.712739702092,0.08512044162558041,2
